year,month,profitable,Horror,Drama,company_freq,runtime,budget,vote_average,popularity,core_actor,actor_avg_age,google_trend
0.2932,1.4289,0,-0.4683,1.2954,0.7339,-1.3846,-1.3407,-1.3438,-1.342,0.4301,-0.4749,1.3101
0.2932,1.4289,1,-0.4683,1.2954,-1.3592,1.3157,0.4338,0.4377,-1.342,-0.4678,-0.4749,1.3101
0.2932,1.4289,0,-0.4683,1.2954,0.7339,0.4156,-0.4535,-0.4531,-1.342,-0.4678,0.4197,-0.5101
-0.6202,-1.6809,0,-0.4683,1.2954,0.7339,1.3157,0.4338,-1.3438,-0.4495,1.328,1.3142,-1.4202
-0.6202,-1.6809,1,-0.4683,1.2954,0.7339,0.4156,-0.4535,0.4377,-0.4495,1.328,0.4197,-1.4202
-0.6202,-1.6809,1,-0.4683,1.2954,-1.3592,0.4156,-1.3407,0.4377,-0.4495,-0.4678,0.4197,-1.4202
-0.6202,-1.6809,0,-0.4683,1.2954,-1.3592,-0.4845,-0.4535,-1.3438,-1.342,0.4301,-0.4749,-1.4202
-0.6202,-1.6809,0,-0.4683,1.2954,-1.3592,-1.3846,-1.3407,-1.3438,-1.342,0.4301,-1.3694,-1.4202
0.2932,-1.1155,1,-0.4683,-0.7701,0.7339,1.3157,1.321,1.3284,1.3354,0.4301,0.4197,-0.5101
0.2932,-1.1155,0,-0.4683,-0.7701,0.7339,-0.4845,1.321,1.3284,1.3354,-0.4678,-1.3694,-0.5101
0.2932,-1.1155,1,2.13,-0.7701,0.7339,-0.4845,-1.3407,-0.4531,1.3354,1.328,-1.3694,0.4
0.2932,-1.1155,1,-0.4683,-0.7701,0.7339,-0.4845,1.321,-1.3438,1.3354,-0.4678,-0.4749,0.4
0.2932,-1.1155,1,-0.4683,-0.7701,0.7339,0.4156,1.321,1.3284,1.3354,0.4301,1.3142,0.4
0.2932,-1.1155,1,-0.4683,-0.7701,0.7339,1.3157,-0.4535,1.3284,1.3354,0.4301,1.3142,-0.5101
0.2932,-1.1155,1,-0.4683,-0.7701,0.7339,-0.4845,1.321,1.3284,0.4429,-0.4678,0.4197,0.4
0.2932,-1.1155,1,-0.4683,-0.7701,0.7339,0.4156,0.4338,-0.4531,0.4429,1.328,0.4197,-0.5101
0.2932,-1.1155,0,2.13,1.2954,0.7339,-1.3846,-1.3407,-1.3438,-0.4495,0.4301,0.4197,0.4
0.2932,-1.1155,1,-0.4683,-0.7701,0.7339,1.3157,0.4338,-0.4531,-0.4495,1.328,-0.4749,0.4
0.2932,-1.1155,0,-0.4683,1.2954,0.7339,-1.3846,-1.3407,-1.3438,-1.342,-0.4678,0.4197,-0.5101
0.2932,-0.2674,1,-0.4683,-0.7701,0.7339,1.3157,1.321,-0.4531,1.3354,-0.4678,0.4197,0.4
0.2932,-0.2674,1,-0.4683,-0.7701,0.7339,-1.3846,1.321,1.3284,1.3354,-0.4678,1.3142,1.3101
0.2932,-0.2674,1,-0.4683,1.2954,0.7339,1.3157,1.321,1.3284,0.4429,1.328,-0.4749,1.3101
0.2932,-0.2674,1,2.13,1.2954,0.7339,-0.4845,-0.4535,1.3284,0.4429,0.4301,-1.3694,1.3101
0.2932,-0.2674,1,-0.4683,-0.7701,0.7339,-0.4845,1.321,0.4377,-0.4495,0.4301,-0.4749,0.4
0.2932,-0.2674,0,2.13,-0.7701,-1.3592,-1.3846,-1.3407,-0.4531,-0.4495,-1.3657,-0.4749,0.4
0.2932,-0.2674,1,2.13,-0.7701,-1.3592,-1.3846,-1.3407,0.4377,-1.342,-1.3657,-1.3694,0.4
0.2932,-0.2674,0,-0.4683,1.2954,0.7339,-1.3846,-1.3407,-1.3438,-1.342,-1.3657,-1.3694,0.4
1.2065,-1.1155,1,-0.4683,-0.7701,-1.3592,1.3157,1.321,1.3284,1.3354,1.328,-0.4749,0.4
1.2065,-1.1155,1,-0.4683,1.2954,0.7339,0.4156,1.321,0.4377,1.3354,-0.4678,-0.4749,0.4
1.2065,-1.1155,1,2.13,-0.7701,0.7339,0.4156,0.4338,0.4377,1.3354,1.328,-0.4749,0.4
1.2065,-1.1155,1,-0.4683,-0.7701,0.7339,1.3157,1.321,-0.4531,1.3354,-1.3657,-1.3694,1.3101
1.2065,-1.1155,1,-0.4683,-0.7701,0.7339,1.3157,1.321,1.3284,0.4429,0.4301,-0.4749,0.4
1.2065,-1.1155,1,-0.4683,-0.7701,0.7339,-1.3846,0.4338,-1.3438,0.4429,0.4301,-1.3694,0.4
1.2065,-1.1155,0,-0.4683,1.2954,0.7339,-0.4845,0.4338,0.4377,-1.342,0.4301,0.4197,0.4
1.2065,-1.1155,1,-0.4683,1.2954,-1.3592,-0.4845,-1.3407,1.3284,-1.342,-1.3657,-1.3694,0.4
-0.6202,-1.3982,1,-0.4683,-0.7701,0.7339,-0.4845,0.4338,0.4377,0.4429,0.4301,-0.4749,-1.4202
-0.6202,-1.3982,0,-0.4683,-0.7701,0.7339,-1.3846,0.4338,0.4377,0.4429,1.328,1.3142,-0.5101
-0.6202,-1.3982,0,-0.4683,-0.7701,0.7339,0.4156,1.321,-0.4531,0.4429,0.4301,-0.4749,-1.4202
-0.6202,-1.3982,0,2.13,-0.7701,-1.3592,-1.3846,-1.3407,-1.3438,-0.4495,1.328,1.3142,-1.4202
-0.6202,-1.3982,0,-0.4683,1.2954,0.7339,1.3157,0.4338,1.3284,-0.4495,-0.4678,-0.4749,-1.4202
-0.6202,-1.3982,1,-0.4683,1.2954,-1.3592,0.4156,-1.3407,1.3284,-0.4495,-0.4678,-1.3694,-1.4202
-1.5336,-1.1155,0,-0.4683,-0.7701,0.7339,0.4156,0.4338,-0.4531,0.4429,1.328,0.4197,-1.4202
-1.5336,-1.1155,0,2.13,-0.7701,0.7339,-1.3846,-0.4535,-0.4531,0.4429,-0.4678,-0.4749,-1.4202
-1.5336,-1.1155,0,-0.4683,-0.7701,0.7339,-1.3846,1.321,1.3284,0.4429,0.4301,-0.4749,-1.4202
-1.5336,-1.1155,1,-0.4683,1.2954,-1.3592,0.4156,-1.3407,1.3284,-0.4495,-1.3657,-1.3694,-1.4202
-1.5336,-1.1155,0,-0.4683,1.2954,0.7339,-0.4845,-0.4535,-0.4531,-1.342,0.4301,1.3142,-1.4202
-1.5336,0.0154,1,-0.4683,1.2954,0.7339,0.4156,0.4338,0.4377,0.4429,0.4301,-1.3694,-1.4202
-1.5336,0.0154,0,-0.4683,-0.7701,0.7339,-1.3846,1.321,0.4377,-0.4495,1.328,1.3142,-1.4202
-1.5336,0.0154,1,-0.4683,-0.7701,0.7339,-1.3846,0.4338,-0.4531,-0.4495,1.328,-0.4749,-1.4202
-1.5336,0.0154,0,-0.4683,-0.7701,-1.3592,-1.3846,-1.3407,1.3284,-0.4495,0.4301,0.4197,-1.4202
-1.5336,0.0154,0,-0.4683,-0.7701,0.7339,-1.3846,-0.4535,-1.3438,-1.342,1.328,1.3142,-0.5101
-1.5336,0.0154,0,-0.4683,1.2954,0.7339,1.3157,0.4338,0.4377,-1.342,-1.3657,-1.3694,-1.4202
-1.5336,0.0154,0,-0.4683,-0.7701,-1.3592,-0.4845,-1.3407,-1.3438,-1.342,0.4301,-1.3694,-1.4202
0.2932,-1.3982,0,-0.4683,-0.7701,0.7339,1.3157,1.321,-1.3438,0.4429,0.4301,0.4197,-0.5101
0.2932,-1.3982,1,-0.4683,-0.7701,0.7339,0.4156,1.321,0.4377,0.4429,1.328,0.4197,-0.5101
0.2932,-1.3982,1,-0.4683,1.2954,0.7339,-0.4845,-0.4535,1.3284,0.4429,0.4301,-1.3694,0.4
0.2932,-1.3982,0,-0.4683,1.2954,-1.3592,-0.4845,0.4338,-1.3438,0.4429,1.328,1.3142,-0.5101
0.2932,-1.3982,1,-0.4683,-0.7701,0.7339,1.3157,1.321,-0.4531,-0.4495,0.4301,1.3142,-0.5101
0.2932,-1.3982,0,-0.4683,1.2954,0.7339,-0.4845,-1.3407,0.4377,-0.4495,-1.3657,-1.3694,-0.5101
0.2932,-1.3982,1,-0.4683,-0.7701,0.7339,-1.3846,-1.3407,-0.4531,-0.4495,-1.3657,0.4197,-0.5101
0.2932,-1.3982,1,-0.4683,-0.7701,0.7339,0.4156,-0.4535,-0.4531,-0.4495,0.4301,0.4197,-0.5101
-0.6202,-0.2674,0,-0.4683,-0.7701,0.7339,-1.3846,1.321,1.3284,1.3354,-1.3657,-1.3694,-1.4202
-0.6202,-0.2674,1,2.13,-0.7701,0.7339,-0.4845,-0.4535,0.4377,0.4429,-0.4678,0.4197,-0.5101
-0.6202,-0.2674,1,-0.4683,-0.7701,0.7339,0.4156,0.4338,-0.4531,-0.4495,1.328,1.3142,-1.4202
-0.6202,-0.2674,0,-0.4683,-0.7701,0.7339,0.4156,-1.3407,-0.4531,-0.4495,-0.4678,0.4197,-1.4202
-0.6202,-0.2674,0,2.13,-0.7701,-1.3592,-1.3846,-1.3407,-1.3438,-1.342,-1.3657,-1.3694,-0.5101
-0.6202,-0.2674,0,-0.4683,1.2954,0.7339,0.4156,-1.3407,-1.3438,-1.342,-0.4678,1.3142,-0.5101
-0.6202,-0.2674,0,-0.4683,1.2954,-1.3592,1.3157,0.4338,0.4377,-1.342,-1.3657,-1.3694,-0.5101
-1.5336,0.2981,1,-0.4683,-0.7701,0.7339,1.3157,1.321,0.4377,1.3354,0.4301,-0.4749,-1.4202
-1.5336,0.2981,0,-0.4683,-0.7701,0.7339,-1.3846,0.4338,1.3284,0.4429,0.4301,1.3142,-1.4202
-1.5336,0.2981,0,-0.4683,1.2954,-1.3592,-1.3846,0.4338,-1.3438,-0.4495,0.4301,-1.3694,-1.4202
-1.5336,0.2981,1,-0.4683,-0.7701,-1.3592,-0.4845,-0.4535,-0.4531,-0.4495,1.328,1.3142,-1.4202
-1.5336,0.2981,0,-0.4683,-0.7701,-1.3592,-1.3846,-0.4535,-1.3438,-1.342,1.328,1.3142,-1.4202
-1.5336,0.2981,0,-0.4683,1.2954,-1.3592,-0.4845,-1.3407,-1.3438,-1.342,0.4301,-1.3694,-1.4202
-0.6202,0.8635,1,-0.4683,-0.7701,0.7339,-0.4845,0.4338,1.3284,1.3354,-0.4678,1.3142,-0.5101
-0.6202,0.8635,1,-0.4683,-0.7701,-1.3592,1.3157,0.4338,0.4377,0.4429,-0.4678,-0.4749,0.4
-0.6202,0.8635,1,2.13,-0.7701,0.7339,-0.4845,-0.4535,-0.4531,0.4429,-0.4678,0.4197,-0.5101
-0.6202,0.8635,0,2.13,-0.7701,0.7339,0.4156,0.4338,1.3284,-0.4495,-0.4678,-1.3694,0.4
-0.6202,0.8635,1,2.13,1.2954,0.7339,-0.4845,-0.4535,-1.3438,-0.4495,-0.4678,-1.3694,0.4
-0.6202,0.8635,0,-0.4683,1.2954,0.7339,1.3157,1.321,1.3284,-0.4495,1.328,-0.4749,-0.5101
-0.6202,0.8635,1,-0.4683,1.2954,0.7339,0.4156,-0.4535,0.4377,-0.4495,-0.4678,1.3142,0.4
-0.6202,0.8635,0,-0.4683,1.2954,-1.3592,-1.3846,-1.3407,-0.4531,-1.342,-1.3657,1.3142,-0.5101
-0.6202,0.8635,1,-0.4683,1.2954,-1.3592,-0.4845,-1.3407,1.3284,-1.342,-0.4678,0.4197,-0.5101
-1.5336,-1.6809,1,-0.4683,-0.7701,0.7339,0.4156,-0.4535,1.3284,1.3354,0.4301,0.4197,1.3101
-1.5336,-1.6809,1,-0.4683,-0.7701,0.7339,0.4156,1.321,0.4377,1.3354,1.328,0.4197,-0.5101
-1.5336,-1.6809,1,-0.4683,-0.7701,0.7339,-0.4845,1.321,-0.4531,0.4429,1.328,1.3142,1.3101
-1.5336,-1.6809,0,2.13,-0.7701,0.7339,-1.3846,0.4338,-1.3438,-0.4495,0.4301,0.4197,-0.5101
-1.5336,-1.6809,0,-0.4683,-0.7701,0.7339,-0.4845,-0.4535,0.4377,-0.4495,-0.4678,-0.4749,-0.5101
-1.5336,-1.6809,0,-0.4683,-0.7701,-1.3592,-1.3846,-1.3407,-1.3438,-0.4495,-1.3657,-0.4749,0.4
-1.5336,-1.6809,1,2.13,-0.7701,0.7339,-1.3846,-0.4535,-1.3438,-0.4495,-1.3657,-1.3694,0.4
-1.5336,-1.6809,1,2.13,-0.7701,0.7339,-1.3846,-1.3407,-1.3438,-1.342,-1.3657,-1.3694,-1.4202
-1.5336,-1.6809,0,-0.4683,-0.7701,0.7339,0.4156,0.4338,-1.3438,-1.342,-1.3657,-1.3694,-1.4202
-1.5336,-1.6809,0,-0.4683,1.2954,-1.3592,1.3157,-1.3407,-1.3438,-1.342,1.328,0.4197,-1.4202
-1.5336,-1.6809,0,-0.4683,-0.7701,0.7339,-1.3846,0.4338,-1.3438,-1.342,0.4301,0.4197,-0.5101
-1.5336,-1.6809,0,-0.4683,1.2954,-1.3592,0.4156,-0.4535,1.3284,-1.342,-1.3657,-1.3694,0.4
-1.5336,1.1462,1,-0.4683,-0.7701,0.7339,-1.3846,0.4338,1.3284,0.4429,1.328,0.4197,-0.5101
-1.5336,1.1462,1,2.13,-0.7701,0.7339,-0.4845,-1.3407,-0.4531,0.4429,-0.4678,-0.4749,-1.4202
-1.5336,1.1462,0,-0.4683,-0.7701,-1.3592,-0.4845,-0.4535,-1.3438,-0.4495,1.328,-0.4749,-1.4202
-1.5336,1.1462,0,-0.4683,1.2954,-1.3592,1.3157,-0.4535,-0.4531,-0.4495,1.328,0.4197,-1.4202
-1.5336,1.1462,1,2.13,1.2954,-1.3592,-1.3846,-1.3407,0.4377,-0.4495,-1.3657,0.4197,-1.4202
-1.5336,1.1462,0,-0.4683,1.2954,0.7339,0.4156,-0.4535,0.4377,-1.342,1.328,1.3142,-1.4202
0.2932,0.8635,1,-0.4683,-0.7701,0.7339,1.3157,1.321,0.4377,1.3354,0.4301,1.3142,0.4
0.2932,0.8635,1,2.13,-0.7701,-1.3592,1.3157,-1.3407,-0.4531,0.4429,-1.3657,-1.3694,1.3101
0.2932,0.8635,1,-0.4683,-0.7701,0.7339,-0.4845,0.4338,0.4377,0.4429,-0.4678,-1.3694,1.3101
0.2932,0.8635,1,2.13,-0.7701,0.7339,0.4156,-0.4535,-1.3438,0.4429,-0.4678,1.3142,0.4
0.2932,0.8635,1,-0.4683,1.2954,0.7339,0.4156,-0.4535,1.3284,-0.4495,0.4301,1.3142,0.4
0.2932,0.8635,0,-0.4683,1.2954,-1.3592,1.3157,-0.4535,1.3284,-1.342,-1.3657,0.4197,0.4
0.2932,0.8635,0,-0.4683,1.2954,0.7339,0.4156,-0.4535,-0.4531,-1.342,1.328,-1.3694,-0.5101
0.2932,0.5808,1,2.13,-0.7701,-1.3592,0.4156,-0.4535,-0.4531,0.4429,-1.3657,-1.3694,-0.5101
0.2932,0.5808,1,-0.4683,1.2954,-1.3592,1.3157,0.4338,1.3284,0.4429,-0.4678,0.4197,-0.5101
0.2932,0.5808,1,2.13,-0.7701,0.7339,-0.4845,-1.3407,0.4377,0.4429,-0.4678,-0.4749,0.4
0.2932,0.5808,1,2.13,-0.7701,-1.3592,-1.3846,-1.3407,-1.3438,0.4429,-0.4678,1.3142,-0.5101
0.2932,0.5808,1,2.13,1.2954,0.7339,-0.4845,-1.3407,1.3284,0.4429,-0.4678,-0.4749,-0.5101
0.2932,0.5808,0,-0.4683,1.2954,-1.3592,1.3157,1.321,-1.3438,-0.4495,1.328,-0.4749,0.4
0.2932,0.5808,1,-0.4683,1.2954,0.7339,0.4156,0.4338,-0.4531,-0.4495,1.328,-1.3694,-0.5101
0.2932,0.5808,0,-0.4683,1.2954,-1.3592,1.3157,-0.4535,0.4377,-0.4495,1.328,1.3142,0.4
0.2932,0.5808,1,-0.4683,1.2954,-1.3592,1.3157,-0.4535,0.4377,-0.4495,-1.3657,-1.3694,-0.5101
0.2932,0.5808,1,-0.4683,1.2954,0.7339,-0.4845,-0.4535,-0.4531,-0.4495,0.4301,-0.4749,0.4
0.2932,0.5808,0,-0.4683,-0.7701,0.7339,0.4156,-0.4535,-0.4531,-0.4495,-1.3657,0.4197,0.4
0.2932,0.5808,0,-0.4683,-0.7701,-1.3592,-1.3846,-1.3407,-1.3438,-1.342,-0.4678,1.3142,-0.5101
0.2932,0.5808,0,-0.4683,-0.7701,-1.3592,-0.4845,-1.3407,-1.3438,-1.342,-1.3657,-0.4749,-0.5101
0.2932,0.5808,0,-0.4683,1.2954,-1.3592,-0.4845,-1.3407,-0.4531,-1.342,-1.3657,1.3142,0.4
-0.6202,0.2981,1,-0.4683,-0.7701,0.7339,0.4156,1.321,1.3284,1.3354,1.328,0.4197,-0.5101
-0.6202,0.2981,1,-0.4683,-0.7701,0.7339,-1.3846,0.4338,1.3284,0.4429,-1.3657,-1.3694,-0.5101
-0.6202,0.2981,0,-0.4683,1.2954,-1.3592,0.4156,-1.3407,1.3284,0.4429,-1.3657,0.4197,-0.5101
-0.6202,0.2981,1,2.13,-0.7701,0.7339,-0.4845,-1.3407,0.4377,-0.4495,-0.4678,-0.4749,-0.5101
-0.6202,0.2981,1,2.13,-0.7701,0.7339,-1.3846,-0.4535,-1.3438,-0.4495,-0.4678,1.3142,-0.5101
-0.6202,0.2981,0,-0.4683,-0.7701,0.7339,0.4156,0.4338,-0.4531,-0.4495,1.328,0.4197,-0.5101
-0.6202,0.5808,1,-0.4683,-0.7701,-1.3592,1.3157,1.321,1.3284,1.3354,1.328,-1.3694,-1.4202
-0.6202,0.5808,1,-0.4683,-0.7701,0.7339,1.3157,1.321,1.3284,1.3354,-0.4678,0.4197,-1.4202
-0.6202,0.5808,0,-0.4683,-0.7701,-1.3592,1.3157,1.321,1.3284,1.3354,0.4301,1.3142,-1.4202
-0.6202,0.5808,1,-0.4683,-0.7701,0.7339,-1.3846,1.321,-0.4531,1.3354,1.328,0.4197,-0.5101
-0.6202,0.5808,1,-0.4683,1.2954,0.7339,-0.4845,-0.4535,0.4377,0.4429,-1.3657,-0.4749,-1.4202
-0.6202,0.5808,1,-0.4683,-0.7701,0.7339,1.3157,1.321,1.3284,0.4429,1.328,0.4197,-0.5101
-0.6202,0.5808,0,2.13,-0.7701,0.7339,0.4156,0.4338,-0.4531,-0.4495,-0.4678,-0.4749,-1.4202
-0.6202,0.5808,0,-0.4683,1.2954,0.7339,0.4156,0.4338,-0.4531,-0.4495,0.4301,0.4197,-0.5101
-0.6202,0.5808,0,-0.4683,1.2954,-1.3592,-0.4845,0.4338,-1.3438,-0.4495,1.328,1.3142,-1.4202
-0.6202,0.5808,0,-0.4683,1.2954,0.7339,1.3157,0.4338,-1.3438,-1.342,0.4301,-0.4749,-0.5101
-0.6202,1.4289,1,-0.4683,-0.7701,0.7339,1.3157,1.321,1.3284,1.3354,0.4301,-1.3694,0.4
-0.6202,1.4289,1,-0.4683,-0.7701,0.7339,0.4156,1.321,1.3284,1.3354,1.328,0.4197,-1.4202
-0.6202,1.4289,1,-0.4683,-0.7701,0.7339,1.3157,1.321,-0.4531,1.3354,0.4301,1.3142,1.3101
-0.6202,1.4289,0,-0.4683,-0.7701,0.7339,1.3157,1.321,-0.4531,0.4429,1.328,0.4197,0.4
-0.6202,1.4289,0,-0.4683,1.2954,-1.3592,1.3157,1.321,0.4377,0.4429,1.328,1.3142,-0.5101
-0.6202,1.4289,0,-0.4683,1.2954,0.7339,1.3157,0.4338,0.4377,-0.4495,0.4301,1.3142,-1.4202
-0.6202,1.4289,0,-0.4683,1.2954,0.7339,1.3157,1.321,0.4377,-0.4495,-1.3657,1.3142,-0.5101
-0.6202,1.4289,0,-0.4683,1.2954,0.7339,0.4156,-0.4535,-0.4531,-1.342,-0.4678,-0.4749,0.4
-0.6202,1.4289,1,-0.4683,1.2954,0.7339,1.3157,-1.3407,-0.4531,-1.342,-1.3657,-1.3694,-0.5101
-0.6202,1.4289,0,-0.4683,-0.7701,-1.3592,-0.4845,-0.4535,-1.3438,-1.342,-1.3657,1.3142,0.4
-0.6202,1.4289,0,-0.4683,1.2954,0.7339,1.3157,-0.4535,0.4377,-1.342,-0.4678,-1.3694,1.3101
-0.6202,1.4289,0,-0.4683,1.2954,-1.3592,1.3157,-0.4535,-0.4531,-1.342,-1.3657,-0.4749,-0.5101
-1.5336,1.4289,0,-0.4683,-0.7701,0.7339,1.3157,1.321,-0.4531,1.3354,0.4301,0.4197,0.4
-1.5336,1.4289,0,-0.4683,-0.7701,0.7339,-0.4845,1.321,1.3284,1.3354,-0.4678,1.3142,0.4
-1.5336,1.4289,0,-0.4683,-0.7701,-1.3592,-0.4845,0.4338,-0.4531,0.4429,1.328,1.3142,-1.4202
-1.5336,1.4289,1,-0.4683,1.2954,0.7339,-1.3846,-1.3407,1.3284,-0.4495,0.4301,1.3142,0.4
-1.5336,1.4289,1,-0.4683,1.2954,0.7339,0.4156,-1.3407,1.3284,-0.4495,0.4301,-0.4749,-1.4202
-1.5336,1.4289,0,-0.4683,1.2954,0.7339,-1.3846,-1.3407,-1.3438,-1.342,-1.3657,-0.4749,-1.4202
-1.5336,1.4289,0,-0.4683,1.2954,0.7339,0.4156,0.4338,0.4377,-1.342,1.328,1.3142,0.4
0.2932,1.1462,1,-0.4683,-0.7701,0.7339,1.3157,1.321,0.4377,1.3354,-1.3657,-0.4749,-0.5101
0.2932,1.1462,1,-0.4683,1.2954,-1.3592,1.3157,0.4338,1.3284,0.4429,0.4301,-0.4749,-0.5101
0.2932,1.1462,1,2.13,-0.7701,0.7339,-0.4845,0.4338,0.4377,0.4429,0.4301,-0.4749,-0.5101
0.2932,1.1462,0,-0.4683,-0.7701,0.7339,-0.4845,1.321,-0.4531,0.4429,1.328,-0.4749,1.3101
0.2932,1.1462,1,-0.4683,-0.7701,0.7339,0.4156,-0.4535,1.3284,0.4429,-0.4678,1.3142,-0.5101
0.2932,1.1462,0,-0.4683,1.2954,0.7339,1.3157,1.321,0.4377,-0.4495,1.328,-0.4749,1.3101
0.2932,1.1462,0,-0.4683,1.2954,0.7339,1.3157,0.4338,0.4377,-1.342,0.4301,0.4197,-0.5101
0.2932,1.1462,0,-0.4683,1.2954,0.7339,1.3157,1.321,-1.3438,-1.342,0.4301,1.3142,1.3101
0.2932,1.1462,0,-0.4683,1.2954,0.7339,-0.4845,-1.3407,0.4377,-1.342,0.4301,0.4197,-0.5101
0.2932,1.1462,1,-0.4683,-0.7701,-1.3592,-1.3846,-1.3407,0.4377,-1.342,0.4301,0.4197,1.3101
-0.6202,1.1462,1,-0.4683,-0.7701,0.7339,0.4156,1.321,1.3284,1.3354,0.4301,-0.4749,-1.4202
-0.6202,1.1462,1,2.13,-0.7701,0.7339,-0.4845,-0.4535,-1.3438,0.4429,0.4301,-0.4749,0.4
-0.6202,1.1462,1,-0.4683,-0.7701,0.7339,1.3157,1.321,0.4377,0.4429,0.4301,0.4197,-0.5101
-0.6202,1.1462,0,-0.4683,-0.7701,-1.3592,0.4156,1.321,-0.4531,0.4429,1.328,0.4197,-0.5101
-0.6202,1.1462,1,-0.4683,-0.7701,0.7339,-1.3846,0.4338,0.4377,-0.4495,-1.3657,-1.3694,-0.5101
-0.6202,1.1462,0,-0.4683,1.2954,0.7339,1.3157,0.4338,0.4377,-0.4495,-0.4678,-0.4749,0.4
-0.6202,1.1462,0,-0.4683,1.2954,0.7339,1.3157,0.4338,1.3284,-0.4495,1.328,1.3142,-1.4202
-0.6202,1.1462,1,-0.4683,1.2954,0.7339,1.3157,1.321,-0.4531,-0.4495,0.4301,1.3142,0.4
-0.6202,1.1462,0,-0.4683,1.2954,0.7339,0.4156,-0.4535,0.4377,-1.342,0.4301,0.4197,-0.5101
-0.6202,1.1462,0,-0.4683,1.2954,-1.3592,0.4156,-1.3407,0.4377,-1.342,-0.4678,-0.4749,-1.4202
-0.6202,1.1462,1,-0.4683,1.2954,-1.3592,-0.4845,-1.3407,0.4377,-1.342,-1.3657,-1.3694,-0.5101
-1.5336,0.5808,0,-0.4683,1.2954,0.7339,0.4156,1.321,0.4377,0.4429,-0.4678,1.3142,-1.4202
-1.5336,0.5808,1,-0.4683,1.2954,0.7339,-0.4845,-0.4535,0.4377,0.4429,-1.3657,-1.3694,-1.4202
-1.5336,0.5808,0,-0.4683,1.2954,-1.3592,1.3157,0.4338,1.3284,-1.342,0.4301,0.4197,-1.4202
-1.5336,0.5808,0,2.13,-0.7701,0.7339,-0.4845,-0.4535,-1.3438,-1.342,-0.4678,0.4197,-1.4202
-1.5336,0.5808,0,-0.4683,1.2954,-1.3592,-1.3846,-1.3407,-0.4531,-1.342,1.328,0.4197,-1.4202
-1.5336,0.5808,0,-0.4683,-0.7701,-1.3592,-1.3846,-1.3407,-1.3438,-1.342,-0.4678,1.3142,-1.4202
-1.5336,0.5808,0,-0.4683,1.2954,-1.3592,-1.3846,-1.3407,-1.3438,-1.342,-0.4678,0.4197,-1.4202
-1.5336,0.8635,0,-0.4683,-0.7701,-1.3592,0.4156,0.4338,1.3284,-0.4495,-0.4678,0.4197,-1.4202
-1.5336,0.8635,0,2.13,-0.7701,0.7339,-0.4845,-1.3407,-0.4531,-0.4495,-0.4678,0.4197,-1.4202
-1.5336,0.8635,0,-0.4683,-0.7701,-1.3592,-0.4845,-1.3407,1.3284,-0.4495,-0.4678,-1.3694,-0.5101
-1.5336,0.8635,0,2.13,-0.7701,-1.3592,1.3157,-0.4535,-1.3438,-0.4495,-1.3657,-0.4749,-0.5101
-1.5336,0.8635,0,-0.4683,-0.7701,-1.3592,1.3157,-0.4535,-1.3438,-0.4495,-1.3657,0.4197,-0.5101
-1.5336,0.8635,0,-0.4683,-0.7701,0.7339,-0.4845,-0.4535,-1.3438,-0.4495,1.328,1.3142,-0.5101
-1.5336,0.8635,0,2.13,1.2954,0.7339,-1.3846,-0.4535,-1.3438,-1.342,-0.4678,-1.3694,-0.5101
-1.5336,0.8635,0,-0.4683,-0.7701,-1.3592,-0.4845,-0.4535,0.4377,-1.342,-0.4678,-0.4749,-1.4202
-1.5336,0.8635,0,2.13,-0.7701,0.7339,-1.3846,-1.3407,-0.4531,-1.342,-1.3657,-1.3694,-0.5101
-1.5336,0.8635,0,2.13,-0.7701,-1.3592,-1.3846,-1.3407,-1.3438,-1.342,-1.3657,1.3142,-0.5101
-1.5336,0.8635,0,-0.4683,1.2954,0.7339,-1.3846,-0.4535,1.3284,-1.342,-1.3657,-0.4749,-0.5101
-1.5336,0.8635,0,-0.4683,-0.7701,-1.3592,-0.4845,-1.3407,-1.3438,-1.342,-1.3657,-1.3694,-0.5101
